"[""https://content.onliner.by/news/main/4622d84a3975ba6e0bc26728575f4a1f.jpeg"", ""Бизнес-ангел Андрей Гусаров: «Стартаперы словно забыли, что проект вообще-то должен деньги приносить»""]","В Беларуси случился перезапуск первого сообщества бизнес-ангелов: был «Бавин», стал QS. Организатором инициативы выступил Андрей Гусаров, основатель компании GUSAROV. Предприниматель несколько лет интересуется стартапами и помогал сотням компаний, но признается, что успешного опыта нет — и во многом так сложилось из-за самих стартапов.",
"[""https://content.onliner.by/news/submain/ec8054589587f526a9346cf503a04720.jpeg"", ""Совмин утвердил Положение о предварительной идентификации пользователей""]",Правительство утвердило Положение о порядке предварительной идентификации пользователей интернет-ресурсов. Об этом сообщается на сайте Совета министров.,
"[""https://content.onliner.by/news/submain/c0966a619c6b80de6a90af88ea508975.jpeg"", ""Новые слухи о Galaxy S10: большой прогресс камеры и 12 ГБ оперативной памяти""]","По последним слухам, линейка Samsung Galaxy S10 расширится до четырех смартфонов: Lite, обычный S10, его Plus-версия и S10 с поддержкой 5G — последний станет флагманским. Зарубежные ресурсы раскрыли информацию о камерах и особенностях некоторых устройств.",
"[""https://content.onliner.by/news/submain/9bf4b6d3c8c2452a51a04f2c634a5253.jpeg"", ""Штат Огайо первым в США разрешил платить налоги в криптовалюте""]","В Северной Америке отныне можно платить налоги криптовалютой. Правда, пока только в одном штате — Огайо. Компании вольны оплачивать в крипте налоги широкого спектра — от реализации табачной продукции до налога на коммунальные услуги.",
"[""https://content.onliner.by/news/submain/dabf409ac4e8cd003800f243d8aa009a.jpeg"", ""Vivo готовит смартфон с двумя OLED-экранами""]","В китайском сервисе Weibo появились подробности о любопытном смартфоне Vivo. Новое устройство в линейке NEX должно выйти с двумя экранами — один будет на передней панели, а другой окажется на задней крышке.",
"[""https://content.onliner.by/news/submain/ce75aa00cdfb60cfeba40e6306047174.jpeg"", ""Что сделал Шорец для Минска, а что не смог. Разговор с городским активистом""]","Чем за четыре последних года запомнился Шорец на посту главы Минска, какие достижения можно поставить ему в заслугу и какие проблемы ему не удалось решить? На эту тему Onliner поговорил с известным городским активистом и координатором общественной кампании «Город — для горожан» Денисом Кобрусевым.",
"[""https://content.onliner.by/news/main/77b23d330624184adf0d3307ee853bb4.jpeg"", ""Для кого это строилось? Минские башни изнутри""]","Когда-то они были открыты для всех желающих, потом были доступны жителям последних этажей, а сейчас заперты на тысячу замков. Людей прогнали из эдема, отдав башни, как и положено, небу и его жителям (в основном голубям и воронам, но есть исключения). Onliner побывал под самым шпилем знаменитого «дома под шпилем», узнал, как минчанам удалось приватизировать одну из башен на площади Победы, и штурмовал каланчу в районе Тракторного завода.",
"[""https://content.onliner.by/news/submain/b1eeabe76d42e2a600617dbe9645b996.jpeg"", ""Белорус хотел выселить квартиранта за неоплату, но застал дома постороннего, который утверждал, что он и есть квартирант""]","Эта почти детективная история произошла в Гомеле. Хозяева трехкомнатной квартиры сдали ее представительному мужчине, но жилец оказался совсем уж нерадивым: игнорировал арендную плату, не оплачивал коммунальные услуги и день за днем кормил хозяев завтраками, обещая вернуть все до копейки, а через некоторое время отключил телефон и бесследно исчез.",
"[""https://content.onliner.by/news/submain/80397ba291e356c4ae6c90b10ad907b4.jpeg"", ""Радикальный эксперимент. Как вам «сталинка», полностью перекрашенная в черный цвет?""]","Эксперимент с перекраской старой кирпичной трехэтажки в черный цвет провели в небольшом подмосковном городке Котельники. Кто был инициатором этого смелого хода, не сообщается, однако реакция на обыденную, казалось бы, процедуру была довольно горячей: в социальных сетях люди активно обсуждают необычное решение и делятся впечатлениями.",
"[""https://content.onliner.by/news/submain/536a7161d79b2df7623ec5ae5746a11d.jpeg"", ""Военный вертолет рухнул в жилом квартале Стамбула""]","По сообщениям турецких СМИ, вертолет, предположительно, врезался в четырехэтажное здание. На данный момент сообщается о троих погибших. Место происшествия оцеплено, в районе Санджактепе дежурят полицейские и медики, пишет CNN Turk.",
